Marca,Modelo,Operador,Tipo de red,Intensidad,Tasa de bajada,Tasa de subida,Tasa de perdida, RTTAvg, RTTmin,RTTmax, Jitter
     Apple,6,AME,   UMTS,-60,1189.88,424.76,21.230431,245,130,276,284
     Apple,6,AME,   EDGE,-60,216.74,142.7,12.871709,1184,8,1399,1039
   Samsung,      Note,AME,    LTE,-74,10398.4,7897.84,38.18182,131,5,156,161
     Apple,6,AME,  HSPA+,-116,2268.19,1621.9,13.421188,166,99,183,3
   Samsung,        S4,AME,   CDMA,-56,1191.11,424.83,32.118912,206,9,276,289
    Huawei,      G730,MOV,       ,0,0,0,0,0,0,0,0
     Apple,6,MOV,  HSPA+,-73,5250.55,3751.01,6.343499,173,97,186,7
      Sony,        Z3,IUS,   EDGE,-55,183.33,143.29,29.289112,1185,15,1399,1036
      Sony,        Z1,IUS,   EDGE,-86,182.03,122.02,38.18182,916,6,1400,1042
  Motorola,      Defy,AME,   EDGE,-84,192.14,127.76,7.032969,1119,7,1400,1043
     Apple,        5C,AME,   UMTS,-61,1196.56,426.8,23.970474,237,148,277,5
      Otro,     OneM8,AME,       ,0,0,0,0,0,0,0,0
   Samsung,        S4,AME,   UMTS,-105,699.79,248.93,17.546293,259,131,276,282
  Motorola,    Moto M,AME,   UMTS,-107,663.27,234.03,39.714733,235,8,276,287
  Motorola,      Defy,AME,   GPRS,-62,77.45,55.2,0,1267,750,1399,7
  Motorola,    Moto M,AME,   GPRS,-111,39.79,32.07,38.18182,1174,653,1400,1040
   Samsung,        S4,AME,  HSPA+,-55,5249.47,3749.16,11.809756,165,8,185,190
   Samsung,        S3,AME,   HSPA,-110,1674.55,1032.02,6.198064,184,11,244,248
      Otro,Lumia Icon,MOV,   UMTS,-97,827.16,295.31,40.470097,194,7,276,286
  Motorola,  Droid HD,AME,  HSPA+,-74,5254.14,3747.39,0,148,9,185,186
      Otro,Lumia Icon,MOV,   GPRS,-75,76.88,61.78,12.127865,1120,10,1400,1042
        Lg,        G3,AME,   GPRS,-68,81.4,62.59,3.912448,1202,748,1400,6
        Lg, Intuition,MOV,       ,0,0,0,0,0,0,0,0
     Apple,        5S,AME,   CDMA,-97,827.79,296.32,1.277653,260,129,276,287
  Motorola,  Droid HD,AME,   CDMA,-109,631.23,224.98,24.453175,232,6,276,289
      Sony,        T3,AME,   EDGE,-75,217,146.84,38.244308,1128,6,1400,1042
  Motorola,      Defy,AME,  HSPA+,-83,4667.39,3336.29,8.929269,165,10,184,188
   Samsung,       Ace,AME,   EDGE,-120,81.22,55.09,24.930246,1257,7,1398,1040
        Lg,     Lucid,AME,   GPRS,-75,78.77,61.15,39.721851,1194,9,1400,1040
   Samsung,        S3,AME,   CDMA,-108,648.05,230.87,22.466591,220,6,276,289
  Motorola,      Defy,AME,  EV-DO,-108,649.04,229.46,33.879898,247,11,276,280
  Motorola,    Moto M,AME,       ,0,0,0,0,0,0,0,0
   Samsung,       Ace,AME,   EDGE,-110,111.61,73.85,38.18182,1323,654,1399,1039
   Samsung,        S3,AME,   HSPA,-112,1584.61,974.81,41.984169,184,5,243,254
    Huawei,      G730,AME,   HSPA,-137,459.74,282.98,38.18182,204,114,245,255
   Samsung,       Ace,AME,   HSPA,-73,3251.22,1997.89,0,195,7,245,251
   Samsung,       Ace,AME,  HSPA+,-82,4743.08,3386.27,4.346637,174,99,186,4
      Otro,Lumia Icon,AME,   UMTS,-74,1192.68,421.95,15.215603,273,269,277,5
   Samsung,       Ace,AME,   EDGE,-63,218.9,142.93,4.659396,1397,1393,1399,6
    Huawei,      G730,MOV,   EDGE,-93,162.62,108.95,38.18182,1128,5,1401,1043
      Otro,     OneM8,AME,   GPRS,-110,40.93,31.16,34.764893,1258,8,1399,1039
        Lg,   GPro L9,MOV,       ,0,0,0,0,0,0,0,0
      Otro,     OneM8,MOV,   HSPA,-94,2401.74,1473.93,0.959279,229,115,245,251
     Apple,6,AME,   UMTS,-60,1193.54,421.96,0,216,128,274,289
        Lg,   GPro L9,IUS,   EDGE,-78,207.65,137.56,3.357414,1395,1392,1397,5
      Otro,     OneM8,AME,  HSPA+,-73,5252.15,3748.1,25.091091,182,177,185,6
      Otro,     OneM8,AME,   GPRS,-85,70.66,50.68,38.18182,926,6,1400,1043
   Samsung,        S4,AME,   HSPA,-80,3021.1,1860.22,30.418739,197,11,244,249
  Motorola,      Defy,IUS,   EDGE,-90,171.55,115.59,25.133581,971,7,1400,1041
   Samsung,        S4,AME,   EDGE,-100,140.35,96.96,40.982666,1323,653,1400,1042
      Sony,        Z1,MOV,   HSPA,-55,3248.7,1999.76,10.759767,181,12,245,250
        Lg, Intuition,MOV,       ,0,0,0,0,0,0,0,0
      Sony,        Z1,AME,   GPRS,-87,67.1,51.12,38.18182,1268,748,1399,5
     Apple,        5S,MOV,   UMTS,-133,234.84,83.05,33.381649,259,134,276,279
   Samsung,        S3,AME,   UMTS,-140,119.45,42.77,38.18182,231,131,277,285
  Motorola,    Moto M,AME,   EDGE,-59,217.68,144.93,38.766853,1110,8,1400,1041
        Lg, Intuition,MOV,   UMTS,-71,1191.24,423.31,0,273,268,275,6
   Samsung,       Ace,AME,   UMTS,-116,515.59,184.19,35.931412,220,8,276,288
    Lenovo,     VibeX,AME,  HSPA+,-60,5249.58,3755.22,39.458839,173,99,184,5
        Lg,   GPro L9,MOV,   EDGE,-67,219.59,141.79,0,1194,10,1401,1038
   Samsung,        S3,AME,  EV-DO,-103,730.89,261.7,33.821072,246,11,276,278
   Samsung,        S4,AME,  HSPA+,-65,5246.56,3750.86,7.482965,133,7,185,188
      Sony,        SP,IUS,   GPRS,-76,78.9,57.28,6.434651,1120,8,1400,1043
   Samsung,       Ace,AME,       ,0,0,0,0,0,0,0,0
  Motorola,  Droid HD,AME,   UMTS,-51,1192.65,423.05,28.678068,259,132,275,280
   Samsung,        S4,AME,   GPRS,-76,75.2,60.44,0,981,10,1399,1038
      Sony,        T3,MOV,   UMTS,-117,499.98,177.42,40.765808,221,11,276,282
        Lg,     Lucid,MOV,   GPRS,-80,77.15,57.44,12.331235,1258,6,1402,1040
   Samsung,        S4,AME,   CDMA,-71,1191,427.44,12.150887,247,11,277,283
      Sony,        Z3,MOV,   HSPA,-89,2228.78,1612.7,19.780373,171,6,244,251
    Huawei,    Ascend,MOV,   UMTS,-98,811.49,291.61,29.053764,260,132,276,283
        Lg, Intuition,AME,   CDMA,-69,1190.36,421.64,8.573516,234,11,277,280
      Sony,        Z3,AME,   UMTS,-68,1013.63,424.83,20.526451,248,13,276,278
   Samsung,        S4,AME,   CDMA,-69,1194.91,429.26,15.988205,235,9,277,282
     Apple,        5S,AME,       ,0,0,0,0,0,0,0,0
  Motorola, Brigadier,NXT,   EDGE,-90,168.92,114.95,8.883916,1248,651,1399,1043
  Motorola,    Moto M,AME,  EV-DO,-61,1194.06,422.7,0,273,270,277,6
        Lg,     Lucid,AME,   CDMA,-90,943.29,337.43,12.83268,235,7,277,290
     Apple,        5C,IUS,   CDMA,-108,647.08,232.56,38.18182,245,130,276,288
      Sony,        Z1,AME,   UMTS,-58,1189.69,426.87,8.896401,216,128,276,288
      Otro,        N9,AME,   CDMA,-92,909.73,322.92,10.905751,250,149,276,6
   Samsung,       Ace,AME,    LTE,-71,10400.11,7901.82,0.352435,122,6,155,160
      Otro,Lumia Icon,MOV,   EDGE,-84,189.75,126.47,28.971525,1332,750,1399,7
      Sony,        Z3,AME,   EDGE,-78,175.94,141.27,7.103014,1183,9,1400,1044
   Samsung,        S3,AME,       ,0,0,0,0,0,0,0,0
        Lg,   GPro L9,AME,   GPRS,-116,34.59,25.94,24.572828,1044,7,1398,1039
        Lg, Intuition,MOV,   EDGE,-137,30.86,20.9,42.08147,1119,6,1399,1041
  Motorola,      Defy,AME,   GPRS,-139,9.25,6.7,38.18182,1268,752,1400,6
   Samsung,      Note,AME,   UMTS,-50,1189.75,426.36,17.19379,246,7,276,290
    Huawei,    Ascend,MOV,  HSPA+,-127,1470.01,1050.43,38.18182,164,86,186,187
   Samsung,        S4,AME,   CDMA,-65,1188.24,423.01,1.248935,247,15,276,277
  Motorola,      Defy,AME,       ,0,0,0,0,0,0,0,0
  Motorola,      Defy,MOV,  HSPA+,-136,815.69,582.92,17.349909,165,13,184,183
      Otro,     OneM8,AME,   EDGE,-66,216.4,148.57,9.806793,1046,7,1399,1043
        Lg,     Lucid,MOV,   EDGE,-89,177.4,115.89,14.893744,1119,9,1400,1041
     Apple,6,AME,  EV-DO,-80,1110.55,400.83,26.599604,222,15,276,273
    Lenovo,     A369i,AME,  EV-DO,-104,713.72,253.45,30.79661,221,9,275,286
   Samsung,       Ace,AME,   HSPA,-107,1811.64,1111.92,4.402328,195,5,245,253
        Lg,   GPro L9,MOV,   HSPA,-131,730.36,448.32,33.335045,186,10,244,247
      Sony,        SP,MOV,   GPRS,-58,80.27,59.87,0,1258,11,1398,1034
      Otro, Brigadier,AME,   GPRS,-73,81.78,59.75,20.874891,1258,13,1400,1037
      Sony,        Z1,MOV,  EV-DO,-56,1190.92,425.22,29.176006,235,10,277,284
   Samsung,        S3,AME,       ,0,0,0,0,0,0,0,0
   Samsung,        S3,MOV,   UMTS,-125,366.1,131.11,12.020856,245,129,277,286
   Samsung,        S3,AME,  HSPA+,-102,3285.09,2347.57,8.196523,154,86,184,189
        Lg, Intuition,MOV,   UMTS,-104,710.93,254.67,40.594593,234,7,276,284
   Samsung,        S4,AME,  EV-DO,-77,1159.73,411.25,4.376538,249,149,276,4
        Lg,     Lucid,MOV,   EDGE,-112,104.94,70.7,11.038658,1183,9,1398,1036
  Motorola,    Moto M,AME,   EDGE,-81,199.2,133.54,41.094379,1332,748,1400,7
        Lg,     Lucid,AME,   EDGE,-90,172.5,111.09,7.823063,1127,5,1399,1043
  Motorola,      Defy,MOV,  HSPA+,-109,2779.19,1985.43,9.590502,138,7,184,186
   Samsung,      Note,AME,   UMTS,-85,1027.66,366.9,12.469333,233,8,276,285
   Samsung,        S4,AME,   HSPA,-121,1179.26,725.85,22.616751,172,7,246,256
   Samsung,       Ace,AME,   UMTS,-67,1194.04,424.04,4.330723,204,8,276,287
  Motorola,      Defy,MOV,   EDGE,-71,220.2,144.85,0,982,11,1399,1036
  Motorola,      Defy,AME,       ,0,0,0,0,0,0,0,0
      Otro,     OneM8,MOV,   GPRS,-58,81.08,61.35,3.667645,1174,654,1398,1038
   Samsung,       Ace,AME,  HSPA+,-50,5248.69,3749.85,38.2043,147,10,184,182
    Huawei,    Ascend,IUS,   CDMA,-88,978.61,348.37,11.608493,223,11,275,281
     Apple,        5S,AME,  EV-DO,-89,963.24,341.87,38.18182,220,5,277,290
      Sony,        T3,MOV,   GPRS,-87,69.8,49.1,5.910648,1130,11,1401,1040
        Lg,     Lucid,AME,   EDGE,-61,219.87,151.73,5.510073,1203,748,1401,8
  Motorola,      Defy,AME,   UMTS,-89,961.24,341.53,19.467924,261,151,276,4
      Sony,        Z3,MOV,   UMTS,-114,466.92,195.49,52.43454,261,146,276,7
   Samsung,        S3,AME,       ,0,0,0,0,0,0,0,0
   Samsung,       Ace,AME,   GPRS,-83,68.95,55.1,29.20776,1397,1395,1399,4
  Motorola,      Defy,AME,   EDGE,-71,217.72,145.87,16.417866,1054,6,1398,1040
  Motorola,      Defy,AME,   CDMA,-70,1190.74,423.64,41.707504,222,9,276,284
   Samsung,      Note,IUS,   HSPA,-90,2574.18,1585.35,6.721684,205,9,243,245
      Sony,        Z1,MOV,   UMTS,-82,1078.44,385.55,43.781895,194,5,278,289
   Samsung,        S3,AME,  HSPA+,-91,4088.79,2921.28,1.62156,157,97,184,9
     Apple,        5S,MOV,       ,0,0,0,0,0,0,0,0
   Samsung,       Ace,AME,   HSPA,-139,370.02,227.55,34.392841,205,9,243,254
      Sony,        SP,MOV,   HSPA,-108,1763.1,1087.6,2.405322,229,129,243,9
   Samsung,       Ace,AME,  HSPA+,-109,2777.66,1982.86,39.247166,154,6,185,191
        Lg,     Lucid,AME,   GPRS,-61,77.82,59.31,42.461372,1193,11,1399,1036
  Motorola,  Droid HD,AME,  HSPA+,-69,5251.14,3746.01,36.940739,147,8,185,191
  Motorola,  Droid HD,AME,   EDGE,-72,217.48,141.65,22.9506,990,7,1400,1043
      Otro,Lumia Icon,AME,   CDMA,-52,1194.64,422.34,38.663139,209,9,277,287
     Apple,        5S,NXT,   iDen,-55,38.49,12.24,41.080788,1678,830,1775,1318
     Apple,4,AME,   EDGE,-112,106.83,69.78,34.784916,1322,654,1401,1039
   Samsung,        S3,AME,       ,0,0,0,0,0,0,0,0
        Lg,        G3,AME,   HSPA,-64,3251.57,1997.58,24.633854,196,10,244,242
   Samsung,        S4,AME,   GPRS,-104,47.55,36.12,38.18182,1258,11,1399,1039
      Otro,     OneM8,AME,   UMTS,-79,1127.16,403.09,13.395452,211,10,277,280
