Id,Label,sex,agerank,wallcount,locale,modularityclass,origin,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
23131,Michael,male,221,257,en_US,2,other,0,0,0,0,0,0
23145,Jason,male,207,,en_US,3,HS1,1,0,0,0,0,0
23166,Christopher,male,186,134,en_US,6,other,2,0,0,0,0,0
23192,David,male,160,5,en_US,7,other,3,0,0,0,0,0
23229,"Jennifer ",female,123,133,en_US,9,Stanford,4,0,0,0,0,0
23242,James,male,110,183,en_US,11,other,5,0,0,0,0,0
23263,John,male,89,105,en_US,13,research,6,0,0,0,0,0
23271,Robert,male,81,86,en_GB,14,research,7,0,0,0,0,0
23272,"Amy ",female,80,366,hr_HR,15,ES Croatia,8,0,0,0,0,0
23276,Brian,male,76,,en_US,17,HS1,9,0,0,0,0,0
23274,"Melissa ",female,78,85,en_US,16,other,10,0,0,0,0,0
23304,Matthew,male,48,100,en_US,19,research,11,0,0,0,0,0
23322,Daniel,male,30,11,en_US,21,UMich,12,0,0,0,0,0
23307,William,male,45,8,en_US,20,HS3,13,0,0,0,0,0
23342,"Heather ",female,10,4,en_US,23,other,14,0,0,0,0,0
23339,Joseph,male,13,36,en_US,22,Stanford,15,0,0,0,0,0
23169,Eric,male,183,8,de_DE,24,German Host Family,16,2,1,1,1,0
23305,Jeremy,male,47,167,de_DE,24,German Host Family,16,2,1,1,1,0
23347,"Angela ",female,5,13,en_US,24,German Host Family,16,2,1,1,1,0
23159,"Michelle ",female,193,2117,en_US,12,Youth for Understanding,17,3,1,1,1,0
23197,"Kimberly ",female,155,912,en_US,12,Youth for Understanding,17,3,1,1,1,0
23246,"Jessica ",female,106,1225,en_US,12,Youth for Understanding,17,3,1,1,1,0
23247,Kevin,male,105,551,en_US,12,Youth for Understanding,17,3,1,1,1,0
23191,Ryan,male,161,232,en_US,18,ES Croatia,18,14,1,1,1,0.751166
23248,"Lisa ",female,104,95,hr_HR,18,ES Croatia,18,14,1,1,1,0.751166
23281,Jeffrey,male,71,5,hr_HR,18,ES Croatia,18,12,2,0.875,0.928571,0.160256
23282,Joshua,male,70,165,hr_HR,18,ES Croatia,18,12,2,0.875,0.928571,0.367832
23283,"Amanda ",female,69,32,hr_HR,18,ES Croatia,18,13,2,0.933333,0.964286,0.460256
23285,Richard,male,67,134,en_US,18,ES Croatia,18,14,1,1,1,0.751166
23293,"Stephanie ",female,59,193,hr_HR,18,ES Croatia,18,13,2,0.933333,0.964286,0.674242
23309,Steven,male,43,34,hr_HR,18,ES Croatia,18,11,2,0.823529,0.892857,0.260256
23315,"Rebecca ",female,37,395,en_US,18,ES Croatia,18,13,2,0.933333,0.964286,0.674242
23316,"Nicole ",female,36,119,en_GB,18,ES Croatia,18,14,1,1,1,0.751166
23323,"Christina ",female,29,192,hr_HR,18,ES Croatia,18,14,1,1,1,0.751166
23336,"Sarah ",female,16,118,hr_HR,18,ES Croatia,18,13,2,0.933333,0.964286,0.567832
23341,"Elizabeth ",female,11,134,en_GB,18,ES Croatia,18,11,2,0.823529,0.892857,0.167832
23345,Timothy,male,7,38,hr_HR,18,ES Croatia,18,14,1,1,1,0.751166
23346,"Shannon ",female,6,36,hr_HR,18,ES Croatia,18,12,2,0.875,0.928571,0.160256
22969,Anthony,male,383,192,en_US,5,research,20,15,5,0.368922,0.412416,44.716288
22970,Thomas,male,382,227,en_US,5,research,20,38,5,0.430333,0.489924,594.652439
22980,Scott,male,372,0,en_US,5,research,20,17,5,0.394796,0.438825,40.247015
22986,Mark,male,366,,en_US,5,research,20,18,5,0.404872,0.446944,140.210988
22989,Charles,male,363,41,en_US,5,research,20,8,5,0.361284,0.395559,40.085958
22990,Andrew,male,362,272,en_GB,5,research,20,17,5,0.395692,0.441452,106.201998
22991,Paul,male,361,609,en_US,5,research,20,4,5,0.316985,0.341117,4.226689
23003,Chad,male,349,1,en_US,5,UMich,20,8,5,0.363163,0.394269,109.42567
23012,"Jamie ",female,340,380,en_US,5,UMich,20,5,5,0.337198,0.36084,17.877053
23042,Aaron,male,310,,en_US,5,research,20,14,6,0.332698,0.370487,46.703235
23055,Jonathan,male,297,120,en_US,5,research,20,23,5,0.377706,0.428415,225.489072
23056,Benjamin,male,296,112,en_US,5,research,20,11,5,0.373262,0.413706,32.791774
23057,Justin,male,295,316,en_US,5,research,20,21,6,0.379761,0.425358,533.981136
23063,Shawn,male,289,86,en_US,5,research,23,9,5,0.351107,0.384623,15.689704
23094,"Kelly ",female,258,23,en_US,5,research,20,14,5,0.366212,0.406208,47.133333
23128,Gregory,male,224,27,en_US,5,UMich,20,3,5,0.325864,0.349427,0
23140,Adam,male,212,37,hr_HR,5,other,20,1,7,0.247167,0.260131,0
23148,"Laura ",female,204,150,en_US,5,research,20,15,6,0.3277,0.36404,24.821279
23160,Stephen,male,192,116,en_US,5,research,20,16,6,0.346918,0.388443,82.518291
23161,Kenneth,male,191,171,en_US,5,research,20,2,6,0.314698,0.332426,45.401363
23174,"Julie ",female,178,134,en_US,5,UMich,20,7,5,0.360165,0.393171,35.818631
23175,Nathan,male,177,86,en_US,5,research,20,39,5,0.427696,0.486437,889.506904
23186,"Mary ",female,166,237,en_US,5,research,20,19,6,0.363542,0.400764,588.347363
23199,"Rachel ",female,153,326,en_US,5,research,23,8,5,0.370095,0.403964,35.900837
23211,Brandon,male,141,65,en_US,5,research,20,9,6,0.328316,0.359742,15.856243
23226,Patrick,male,126,730,en_US,5,research,20,17,6,0.358684,0.401576,222.187224
23230,Sean,male,122,149,en_US,5,research,20,22,5,0.370488,0.420392,180.467332
23249,Bryan,male,103,329,en_US,5,research,20,1,7,0.247167,0.260131,0
23256,Edward,male,96,67,en_US,5,research,20,23,5,0.393905,0.444078,464.94626
23257,Jose,male,95,414,en_US,5,research,20,23,5,0.403468,0.450525,360.95148
23264,Travis,male,88,63,en_US,5,research,20,19,5,0.366597,0.4117,126.405276
23268,Donald,male,84,49,en_US,5,research,23,17,5,0.397042,0.440019,91.171776
23277,Keith,male,75,104,en_US,5,research,20,9,5,0.380589,0.420105,28.350812
23280,Ronald,male,72,117,en_US,5,research,20,10,6,0.328008,0.360458,770.102432
