Source,Target,Type,Id,Label,Weight
23169,23305,Undirected,51413,,1
23169,23347,Undirected,51438,,1
23305,23347,Undirected,51991,,1
23159,23197,Undirected,51263,,1
23159,23246,Undirected,51355,,1
23159,23247,Undirected,51356,,1
23197,23246,Undirected,51533,,1
23197,23247,Undirected,51534,,1
23246,23247,Undirected,51798,,1
23191,23248,Undirected,51524,,1
23191,23281,Undirected,51558,,1
23191,23282,Undirected,51559,,1
23191,23283,Undirected,51560,,1
23191,23285,Undirected,51561,,1
23191,23293,Undirected,51562,,1
23191,23309,Undirected,51590,,1
23191,23315,Undirected,51591,,1
23191,23316,Undirected,51592,,1
23191,23323,Undirected,51593,,1
23191,23336,Undirected,51612,,1
23191,23341,Undirected,51613,,1
23191,23345,Undirected,51614,,1
23191,23346,Undirected,51615,,1
23248,23281,Undirected,51811,,1
23248,23282,Undirected,51812,,1
23248,23283,Undirected,51813,,1
23248,23285,Undirected,51814,,1
23248,23293,Undirected,51815,,1
23248,23309,Undirected,51833,,1
23248,23315,Undirected,51834,,1
23248,23316,Undirected,51835,,1
23248,23323,Undirected,51836,,1
23248,23336,Undirected,51855,,1
23248,23341,Undirected,51856,,1
23248,23345,Undirected,51857,,1
23248,23346,Undirected,51858,,1
23281,23282,Undirected,51885,,1
23281,23283,Undirected,51886,,1
23281,23285,Undirected,51887,,1
23281,23293,Undirected,51888,,1
23281,23315,Undirected,51909,,1
23281,23316,Undirected,51910,,1
23281,23323,Undirected,51911,,1
23281,23336,Undirected,51943,,1
23281,23345,Undirected,51944,,1
23281,23346,Undirected,51945,,1
23282,23283,Undirected,51889,,1
23282,23285,Undirected,51890,,1
23282,23293,Undirected,51891,,1
23282,23309,Undirected,51912,,1
23282,23315,Undirected,51913,,1
23282,23316,Undirected,51914,,1
23282,23323,Undirected,51915,,1
23282,23345,Undirected,51946,,1
23282,23346,Undirected,51947,,1
23283,23285,Undirected,51892,,1
23283,23293,Undirected,51893,,1
