Year,State Abbr.,State Sales Tax Rate,State Food Sales Tax Rate,Soda,Chips/ Pretzels,Ice Cream,Region
1997,AL,4,4,4,4,4,SouthEast
1998,AL,4,4,4,4,4,SouthEast
1999,AL,4,4,4,4,4,SouthEast
2000,AL,4,4,4,4,4,SouthEast
2001,AL,4,4,4,4,4,SouthEast
2002,AL,4,4,4,4,4,SouthEast
2003,AL,4,4,4,4,4,SouthEast
2004,AL,4,4,4,4,4,SouthEast
2005,AL,4,4,4,4,4,SouthEast
2006,AL,4,4,4,4,4,SouthEast
2007,AL,4,4,4,4,4,SouthEast
2008,AL,4,4,4,4,4,West
2009,AL,4,4,4,4,4,West
2010,AL,4,4,4,4,4,West
2011,AL,4,4,4,4,4,West
2012,AL,4,4,4,4,4,West
2013,AL,4,4,4,4,4,West
2014,AL,4,4,4,4,4,West
1997,AK,0,0,0,0,0,West
1998,AK,0,0,0,0,0,West
1999,AK,0,0,0,0,0,West
2000,AK,0,0,0,0,0,West
2001,AK,0,0,0,0,0,SouthWest
2002,AK,0,0,0,0,0,SouthWest
2003,AK,0,0,0,0,0,SouthWest
2004,AK,0,0,0,0,0,SouthWest
2005,AK,0,0,0,0,0,SouthWest
2006,AK,0,0,0,0,0,SouthWest
2007,AK,0,0,0,0,0,SouthWest
2008,AK,0,0,0,0,0,SouthWest
2009,AK,0,0,0,0,0,SouthWest
2010,AK,0,0,0,0,0,SouthWest
2011,AK,0,0,0,0,0,SouthWest
2012,AK,0,0,0,0,0,SouthEast
2013,AK,0,0,0,0,0,SouthEast
2014,AK,0,0,0,0,0,SouthEast
1997,AZ,5,0,0,0,0,SouthEast
1998,AZ,5,0,0,0,0,SouthEast
1999,AZ,5,0,0,0,0,SouthEast
2000,AZ,5,0,0,0,0,SouthEast
2001,AZ,5,0,0,0,0,SouthEast
2002,AZ,5.6,0,0,0,0,SouthEast
2003,AZ,5.6,0,0,0,0,SouthEast
2004,AZ,5.6,0,0,0,0,SouthEast
2005,AZ,5.6,0,0,0,0,West
2006,AZ,5.6,0,0,0,0,West
2007,AZ,5.6,0,0,0,0,West
2008,AZ,5.6,0,0,0,0,West
2009,AZ,5.6,0,0,0,0,West
2010,AZ,5.6,0,0,0,0,West
2011,AZ,6.6,0,0,0,0,West
2012,AZ,6.6,0,0,0,0,West
2013,AZ,6.6,0,0,0,0,West
2014,AZ,5.6,0,0,0,0,West
1997,AR,4.5,4.5,4.5,4.5,4.5,West
1998,AR,4.63,4.63,4.63,4.63,4.63,West
1999,AR,4.63,4.63,4.63,4.63,4.63,West
2000,AR,4.63,4.63,4.63,4.63,4.63,West
2001,AR,4.63,4.63,4.63,4.63,4.63,West
2002,AR,5.125,5.125,5.125,5.125,5.125,West
2003,AR,5.125,5.125,5.125,5.125,5.125,West
2004,AR,5.125,5.125,5.125,5.125,5.125,West
2005,AR,6,6,6,6,6,West
2006,AR,6,6,6,6,6,West
2007,AR,6,6,6,6,6,West
2008,AR,6,3,3,3,3,West
2009,AR,6,3,3,3,3,Northeast
2010,AR,6,2,2,2,2,Northeast
2011,AR,6,2,2,2,2,Northeast
2012,AR,6,1.5,1.5,1.5,1.5,Northeast
2013,AR,6,1.5,1.5,1.5,1.5,Northeast
2014,AR,6.5,1.5,1.5,1.5,1.5,Northeast
1997,CA,6,0,6,0,6,Northeast
1998,CA,6,0,6,0,6,Northeast
1999,CA,6,0,6,0,6,Northeast
2000,CA,6,0,6,0,6,Northeast
2001,CA,6,0,6,0,6,Northeast
2002,CA,6,0,6,0,6,Northeast
2003,CA,6,0,6,0,6,Northeast
2004,CA,6,0,6,0,6,Northeast
2005,CA,6.25,0,6.25,0,6.25,Northeast
2006,CA,6.25,0,6.25,0,6.25,Northeast
