"State.Abbr","Year","Region","State.Sales.Tax.Rate","State.Food.Sales.Tax.Rate","Soda","Chips..Pretzels","Ice.Cream","state","latitude","longitude"
"AK",2004,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2005,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2006,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2007,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2008,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2009,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2010,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2011,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2012,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2013,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AK",2014,"West",0,0,0,0,0,"Alaska",64.0685,-152.2782
"AL",2004,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2005,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2006,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2007,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2008,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2009,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2010,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2011,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2012,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2013,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AL",2014,"SouthEast",4,4,4,4,4,"Alabama",32.7794,-86.8287
"AR",2004,"SouthEast",5.125,5.125,5.125,5.125,5.125,"Arkansas",34.8938,-92.4426
"AR",2005,"SouthEast",6,6,6,6,6,"Arkansas",34.8938,-92.4426
"AR",2006,"SouthEast",6,6,6,6,6,"Arkansas",34.8938,-92.4426
"AR",2007,"SouthEast",6,6,6,6,6,"Arkansas",34.8938,-92.4426
"AR",2008,"SouthEast",6,3,3,3,3,"Arkansas",34.8938,-92.4426
"AR",2009,"SouthEast",6,3,3,3,3,"Arkansas",34.8938,-92.4426
"AR",2010,"SouthEast",6,2,2,2,2,"Arkansas",34.8938,-92.4426
"AR",2011,"SouthEast",6,2,2,2,2,"Arkansas",34.8938,-92.4426
"AR",2012,"SouthEast",6,1.5,1.5,1.5,1.5,"Arkansas",34.8938,-92.4426
"AR",2013,"SouthEast",6,1.5,1.5,1.5,1.5,"Arkansas",34.8938,-92.4426
"AR",2014,"SouthEast",6.5,1.5,1.5,1.5,1.5,"Arkansas",34.8938,-92.4426
"AZ",2004,"SouthWest",5.6,0,0,0,0,"Arizona",34.2744,-111.6602
"AZ",2005,"SouthWest",5.6,0,0,0,0,"Arizona",34.2744,-111.6602
"AZ",2006,"SouthWest",5.6,0,0,0,0,"Arizona",34.2744,-111.6602
