Year,State Abbr.,Region,State Sales Tax Rate,State Food Sales Tax Rate,Soda,Chips/ Pretzels,Ice Cream
2004,AL,SouthEast,4,4,4,4,4
2005,AL,SouthEast,4,4,4,4,4
2006,AL,SouthEast,4,4,4,4,4
2007,AL,SouthEast,4,4,4,4,4
2008,AL,SouthEast,4,4,4,4,4
2009,AL,SouthEast,4,4,4,4,4
2010,AL,SouthEast,4,4,4,4,4
2011,AL,SouthEast,4,4,4,4,4
2012,AL,SouthEast,4,4,4,4,4
2013,AL,SouthEast,4,4,4,4,4
2014,AL,SouthEast,4,4,4,4,4
2004,AK,West,0,0,0,0,0
2005,AK,West,0,0,0,0,0
2006,AK,West,0,0,0,0,0
2007,AK,West,0,0,0,0,0
2008,AK,West,0,0,0,0,0
2009,AK,West,0,0,0,0,0
2010,AK,West,0,0,0,0,0
2011,AK,West,0,0,0,0,0
2012,AK,West,0,0,0,0,0
2013,AK,West,0,0,0,0,0
2014,AK,West,0,0,0,0,0
2004,AZ,SouthWest,5.6,0,0,0,0
2005,AZ,SouthWest,5.6,0,0,0,0
2006,AZ,SouthWest,5.6,0,0,0,0
2007,AZ,SouthWest,5.6,0,0,0,0
2008,AZ,SouthWest,5.6,0,0,0,0
2009,AZ,SouthWest,5.6,0,0,0,0
2010,AZ,SouthWest,5.6,0,0,0,0
2011,AZ,SouthWest,6.6,0,0,0,0
2012,AZ,SouthWest,6.6,0,0,0,0
2013,AZ,SouthWest,6.6,0,0,0,0
2014,AZ,SouthWest,5.6,0,0,0,0
2004,AR,SouthEast,5.125,5.125,5.125,5.125,5.125
2005,AR,SouthEast,6,6,6,6,6
2006,AR,SouthEast,6,6,6,6,6
2007,AR,SouthEast,6,6,6,6,6
2008,AR,SouthEast,6,3,3,3,3
2009,AR,SouthEast,6,3,3,3,3
2010,AR,SouthEast,6,2,2,2,2
2011,AR,SouthEast,6,2,2,2,2
2012,AR,SouthEast,6,1.5,1.5,1.5,1.5
2013,AR,SouthEast,6,1.5,1.5,1.5,1.5
2014,AR,SouthEast,6.5,1.5,1.5,1.5,1.5
2004,CA,West,6,0,6,0,6
2005,CA,West,6.25,0,6.25,0,6.25
2006,CA,West,6.25,0,6.25,0,6.25
2007,CA,West,6.25,0,6.25,0,6.25
2008,CA,West,6.25,0,6.25,0,6.25
2009,CA,West,6.25,0,6.25,0,6.25
2010,CA,West,7.25,0,7.25,0,7.25
2011,CA,West,7.25,0,7.25,0,7.25
2012,CA,West,6.25,0,6.25,0,6.25
2013,CA,West,6.5,0,6.5,0,6.5
2014,CA,West,6.5,0,6.5,0,6.5
2004,CO,West,2.91,0,0,2.91,0
2005,CO,West,2.91,0,0,2.91,0
2006,CO,West,2.91,0,0,2.91,0
2007,CO,West,2.91,0,0,2.91,0
2008,CO,West,2.91,0,0,2.91,0
2009,CO,West,2.91,0,0,2.91,0
2010,CO,West,2.91,0,0,2.91,0
2011,CO,West,2.91,0,2.91,2.91,0
2012,CO,West,2.91,0,2.91,2.91,0
2013,CO,West,2.91,0,2.91,2.91,0
2014,CO,West,2.91,0,2.91,2.91,0
2004,CT,Northeast,6,0,6,6,0
2005,CT,Northeast,6,0,6,6,0
2006,CT,Northeast,6,0,6,6,0
2007,CT,Northeast,6,0,6,6,0
2008,CT,Northeast,6,0,6,6,0
2009,CT,Northeast,6,0,6,6,0
2010,CT,Northeast,6,0,6,6,0
2011,CT,Northeast,6,0,6,6,0
2012,CT,Northeast,6.35,0,6.35,6.35,0
2013,CT,Northeast,6.35,0,6.35,6.35,0
2014,CT,Northeast,6.35,0,6.35,6.35,0
2004,DE,Northeast,0,0,0,0,0
2005,DE,Northeast,0,0,0,0,0
2006,DE,Northeast,0,0,0,0,0
2007,DE,Northeast,0,0,0,0,0
2008,DE,Northeast,0,0,0,0,0
2009,DE,Northeast,0,0,0,0,0
2010,DE,Northeast,0,0,0,0,0
2011,DE,Northeast,0,0,0,0,0
2012,DE,Northeast,0,0,0,0,0
2013,DE,Northeast,0,0,0,0,0
2014,DE,Northeast,0,0,0,0,0
2004,DC,NorthEast,5.75,0,5.75,0,5.75
2005,DC,NorthEast,5.75,0,5.75,0,5.75
2006,DC,NorthEast,5.75,0,5.75,0,5.75
2007,DC,NorthEast,5.75,0,5.75,0,5.75
2008,DC,NorthEast,5.75,0,5.75,0,5.75
2009,DC,NorthEast,5.75,0,5.75,0,5.75
2010,DC,NorthEast,6,0,6,0,6
2011,DC,NorthEast,6,0,6,0,6
2012,DC,NorthEast,6,0,6,0,6
2013,DC,NorthEast,6,0,6,0,6
2014,DC,NorthEast,5.75,0,5.75,0,5.75
2004,FL,SouthEast,6,0,6,0,6
2005,FL,SouthEast,6,0,6,0,6
2006,FL,SouthEast,6,0,6,0,6
2007,FL,SouthEast,6,0,6,0,6
2008,FL,SouthEast,6,0,6,0,6
2009,FL,SouthEast,6,0,6,0,6
2010,FL,SouthEast,6,0,6,0,6
2011,FL,SouthEast,6,0,6,0,6
2012,FL,SouthEast,6,0,6,0,6
2013,FL,SouthEast,6,0,6,0,6
2014,FL,SouthEast,6,0,6,0,6
2004,GA,SouthEast,4,0,4,0,4
2005,GA,SouthEast,4,0,4,0,4
2006,GA,SouthEast,4,0,4,0,4
2007,GA,SouthEast,4,0,4,0,4
2008,GA,SouthEast,4,0,4,0,4
2009,GA,SouthEast,4,0,4,0,4
2010,GA,SouthEast,4,0,4,0,4
2011,GA,SouthEast,4,0,4,0,4
2012,GA,SouthEast,4,0,4,0,4
2013,GA,SouthEast,4,0,4,0,4
2014,GA,SouthEast,4,0,4,0,4
2004,HI,West,4,4,4,4,4
2005,HI,West,4,4,4,4,4
2006,HI,West,4,4,4,4,4
2007,HI,West,4,4,4,4,4
2008,HI,West,4,4,4,4,4
2009,HI,West,4,4,4,4,4
2010,HI,West,4,4,4,4,4
2011,HI,West,4,4,4,4,4
2012,HI,West,4,4,4,4,4
2013,HI,West,4,4,4,4,4
2014,HI,West,4,4,4,4,4
2004,ID,West,6,6,6,6,6
2005,ID,West,5,5,6,5,5
2006,ID,West,5,5,5,5,5
2007,ID,West,6,6,6,6,6
2008,ID,West,6,6,6,6,6
2009,ID,West,6,6,6,6,6
2010,ID,West,6,6,6,6,6
2011,ID,West,6,6,6,6,6
2012,ID,West,6,6,6,6,6
2013,ID,West,6,6,6,6,6
2014,ID,West,6,6,6,6,6
2004,IL,Midwest,6.25,1,6.25,1,1
2005,IL,Midwest,6.25,1,6.25,1,1
2006,IL,Midwest,6.25,1,6.25,1,1
2007,IL,Midwest,6.25,1,6.25,1,1
2008,IL,Midwest,6.25,1,6.25,1,1
2009,IL,Midwest,6.25,1,6.25,1,1
2010,IL,Midwest,6.25,1,6.25,6.25,1
2011,IL,Midwest,6.25,1,6.25,6.25,1
2012,IL,Midwest,6.25,1,6.25,6.25,1
2013,IL,Midwest,6.25,1,6.25,6.25,1
2014,IL,Midwest,6.25,1,6.25,6.25,1
2004,IN,Midwest,6,0,6,6,6
2005,IN,Midwest,6,0,6,6,6
2006,IN,Midwest,6,0,6,6,6
2007,IN,Midwest,6,0,6,6,6
2008,IN,Midwest,6,0,6,6,6
2009,IN,Midwest,7,0,7,7,7
2010,IN,Midwest,7,0,7,7,7
